"","program_name","description","leisure_arts_dum","academics_dum","community_service_dum","professional_skill_dum"
"499","Late Summer Camp (ages 6-7) at Hayes","Price:$90.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here. br>",1,1,0,0
"500","Late Summer Camp (ages 6-7) at Jackson","Price:$74.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"501","Late Summer Camp (ages 6-7) at Kennedy","Price:$104.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"502","Late Summer Camp (ages 6-7) at Kosciuszko","Price:$90.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"503","Late Summer Camp (ages 6-7) at Mt. Greenwood","Price:$104.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here. br>",1,1,0,0
"504","Late Summer Camp (ages 6-7) at Ridge","Price:$105.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"505","Late Summer Camp (ages 6-7) at Riis","Price:$104.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here:https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority.While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers.For additional information on summer day camp click here.",1,1,0,0
"506","Late Summer Camp (ages 6-7) at River","Price:$104.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"507","Late Summer Camp (ages 6-7) at Scottsdale","Price:$93.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"508","Late Summer Camp (ages 6-7) at South Shore","Price:$93.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"509","Late Summer Camp (ages 6-7) at Washington","Price:$74.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"510","Late Summer Camp (ages 6-7) at Welles","Price:$117.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"511","Late Summer Camp (ages 6-7) at West Lawn","Price:$93.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"512","Late Summer Camp (ages 6-8) at Altgeld","Price:$37.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"513","Late Summer Camp (ages 6-8) at Anderson","Price:$37.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"514","Late Summer Camp (ages 6-8) at Armour Square","Price:$77.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"515","Late Summer Camp (ages 6-8) at Austin Town Hall","Price:$55.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"516","Late Summer Camp (ages 6-8) at Chicago Women's","Price:$150.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"517","Late Summer Camp (ages 6-8) at Columbus","Price:$55.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"518","Late Summer Camp (ages 6-8) at Commercial Club","Price:$60.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"519","Late Summer Camp (ages 6-8) at Cornell Square","Price:$37.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"520","Late Summer Camp (ages 6-8) at Davis Square","Price:$35.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"521","Late Summer Camp (ages 6-8) at Douglas","Price:$73.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"522","Late Summer Camp (ages 6-8) at Dvorak","Price:$57.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"523","Late Summer Camp (ages 6-8) at Eckhart","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"524","Late Summer Camp (ages 6-8) at Ellis","Price:$92.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"525","Late Summer Camp (ages 6-8) at Fosco","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"526","Late Summer Camp (ages 6-8) at Franklin","Price:$37.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"527","Late Summer Camp (ages 6-8) at Fuller","Price:$25.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"528","Late Summer Camp (ages 6-8) at Garfield","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"529","Late Summer Camp (ages 6-8) at Harrison","Price:$55.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"530","Late Summer Camp (ages 6-8) at Hermosa","Price:$54.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"531","Late Summer Camp (ages 6-8) at Homan Square","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"532","Late Summer Camp (ages 6-8) at Humboldt","Price:$75.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"533","Late Summer Camp (ages 6-8) at Jesse White","Price:$167.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"534","Late Summer Camp (ages 6-8) at Kennicott","Price:$115.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"535","Late Summer Camp (ages 6-8) at La Follette","Price:$55.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"536","Late Summer Camp (ages 6-8) at Lake Shore","Price:$167.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"537","Late Summer Camp (ages 6-8) at LeClaire-Hearst","Price:$37.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
"538","Late Summer Camp (ages 6-8) at Maggie Daley","Price:$167.00 (Resident)Starting with Summer, 2018, we will be asking families to opt into participating in the CCOL program during registration, instead of after camp. Please learn more about CCOL here: https://www.chicagoparkdistrict.com/programs-memberships/programs-overview/day-camp. The Chicago Park District is committed to playing a significant part in the daily activities of Chicago?s youth this summer. Throughout our 6-week ?Play On? summer day camp, the safety of all campers and staff will be our number one priority. While camp will be different in several ways, many of the fun activities kids are used to experiencing will remain, such as arts & crafts; non-contact sports, wellness, and nature based activities; and in-house special events. Seeing familiar faces of park staff and other campers is another highlight of the camp experience, for both campers and staff. A healthy lunch & snack are provided daily to the campers. For additional information on summer day camp click here.",1,1,0,0
